CHAR_005,QUAL_E1,QUAL_E2,QUAL_E3,QUAL_E4,QUAL_E5,QUAL_E6,QUAL_E7,QUAL_E8,QUAL_E9,QUAL_E10,QUAN_E1,QUAN_E2,QUAN_E3,QUAN_E4,QUAN_E5,QUAN_E6,QUAN_E7,QUAN_E8,QUAN_E9,QUAN_E10,,,,,,
Variable RPM Tilt-Rotor,"[1,9]",,,,,,,,,,"[.67,.85]",,,,,,,,,,,,,,,
Variable RPM Tilt-Wing,"[1,9]",,,,,,,,,,"[.75,.89]",,,,,,,,,,,,,,,
Fan-In-Wing Turbojet,"[1,9]",,,,,,,,,,"[.4,.7]",,,,,,,,,,,,,,,
Tilting Fan-in-Wing,"[1,9]",,,,,,,,,,"[.7,.9]",,,,,,,,,,,,,,,
Stopped Rotor,"[1,9]",,,,,,,,,,"[.45,.7]",,,,,,,,,,,,,,,
Auto-Gyro,"[1,9]",,,,,,,,,,"[.88,.95]",,,,,,,,,,,,,,,
Twin Rotor Tail-Sitter,"[1,9]",,,,,,,,,,"[.65,.9]",,,,,,,,,,,,,,,
Fan-in-Wing Fixed Pusher,"[1,9]",,,,,,,,,,"[.9,.95]",,,,,,,,,,,,,,,
Heliplane,"[1,9]",,,,,,,,,,"[.35,.65]",,,,,,,,,,,,,,,
Fan-in-Body Tilt-Duct,"[1,9]",,,,,,,,,,"[.6,.95]",,,,,,,,,,,,,,,
