System,Aspect,Variable,VAR_NAME,MIN_MAX,QUANT_OPTION_1,QUANT_OPTION_2,QUANT_OPTION_3,QUANT_OPTION_4,QUANT_OPTION_5,QUANT_OPTION_6,QUAL_OPTION_1,QUAL_OPTION_2,QUAL_OPTION_3,QUAL_OPTION_4,QUAL_OPTION_5,QUAL_OPTION_6
FWD_SYS,FWD_SYS_PROP,,,,,,,,,,,,,,,
FWD_SYS,FWD_SYS_PROP,,,,,,,,,,,,,,,
FWD_SYS,FWD_SYS_PROP,,,,,,,,,,,,,,,
FWD_SYS,FWD_SYS_DRV,Empty Weight (Rel to System) (-),phi,"[1.,9.]","[4.,7.]","[6.,9.]","[6.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]"
FWD_SYS,FWD_SYS_DRV,Max Cruise Speed (kts),V_max,"[150.,550.]","[150.,450.]","[150.,300.]","[250.,550.]","[150.,550.]","[150.,550.]","[150.,550.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]"
FWD_SYS,FWD_SYS_DRV,Prop. Efficiency (_p),eta_p,"[0.6,1.]","[.6,1.]","[.6,1.]","[.6,1.]","[.6,1.]","[.6,1.]","[.6,1.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]"
FWD_SYS,FWD_SYS_DRV,Drive System Efficiency (eta_d),eta_d,"[0.5,1.]","[.85,.96]","[.6,.75]","[.5,.75]","[.5,1.]","[.5,1.]","[.5,1.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]"
FWD_SYS,FWD_SYS_DRV,,,,,,,,,,,,,,,
FWD_SYS,FWD_SYS_DRV,,,,,,,,,,,,,,,
FWD_SYS,FWD_SYS_DRV,,,,,,,,,,,,,,,
FWD_SYS,FWD_SYS_DRV,,,,,,,,,,,,,,,
FWD_SYS,FWD_SYS_TYPE,Empty Weight (Rel to System) (-),phi,"[1.,9.]","[1.,9.]","[1.,7.]","[1.,9.]","[1.,7.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]"
FWD_SYS,FWD_SYS_TYPE,Prop. Efficiency (_p),eta_p,"[0.6,1.]","[.6,1.]","[.6,.85]","[.6,1.]","[.6,.88]","[.6,1.]","[.6,1.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]"
FWD_SYS,FWD_SYS_TYPE,Flat Plate Drag Area (-),f,"[1.,9.]","[1.,9.]","[5.,8.]","[1.,9.]","[1.,8.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]"
FWD_SYS,FWD_SYS_TYPE,Sys Thrust to Power Ratio (T/P),TP,"[0.1,20.]","[1.5,15.]","[3.,6.]","[.1,20.]","[.1,20.]","[.1,20.]","[.1,20.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]"
FWD_SYS,FWD_SYS_TYPE,,,,,,,,,,,,,,,
FWD_SYS,FWD_SYS_TYPE,,,,,,,,,,,,,,,
FWD_SYS,FWD_SYS_TYPE,,,,,,,,,,,,,,,
WING_SYS,WING_SYS_TYPE,Empty Weight (Rel to System) (-),phi,"[1.,9.]","[4.,7.]","[6.,8.]","[6.,9.]","[4.,8.]","[3.,6.]","[2.,7.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]"
WING_SYS,WING_SYS_TYPE,Cruise Aerodynamic Efficiency (L/D),LD,"[5.,25.]","[8.,20.]","[5.,10.]","[7.,15.]","[9.,22.]","[6.,15.]","[4.,10.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]"
WING_SYS,WING_SYS_TYPE,Wing Loading (W/S),WS,"[15.,250.]","[4.,170.]","[11.,141.]","[11.,65.]","[5.,58.]","[50.,100.]","[125.,250.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]"
WING_SYS,WING_SYS_TYPE,Flat Plate Drag Area (-),f,"[1.,9.]","[3.,7.]","[6.,9.]","[6.,9.]","[5.,9.]","[3.,7.]","[2.,6.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]"
WING_SYS,WING_SYS_TYPE,,,,,,,,,,,,,,,
WING_SYS,WING_SYS_TYPE,,,,,,,,,,,,,,,
WING_SYS,WING_SYS_TYPE,,,,,,,,,,,,,,,
WING_SYS,WING_SYS_TYPE,,,,,,,,,,,,,,,
ENG_SYS,ENG_SYS_TYPE,Empty Weight (Rel to System) (-),phi,"[1.,9.]","[6.,8.]","[5.,7.]","[4.,6.]","[3.,7.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]"
ENG_SYS,ENG_SYS_TYPE,Specific Fuel Consumption (SFC),SFC,"[1.,9.]","[4.,8.]","[2.,5.]","[1.,4.]","[6.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]"
ENG_SYS,ENG_SYS_TYPE,,,,,,,,,,,,,,,
ENG_SYS,ENG_SYS_TYPE,,,,,,,,,,,,,,,
ENG_SYS,ENG_SYS_TYPE,,,,,,,,,,,,,,,
ENG_SYS,ENG_SYS_TYPE,,,,,,,,,,,,,,,
ENG_SYS,ENG_SYS_TYPE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
